text,vision_label,_id,is_neutral
a brown yellow black and red bird and a branch,descriptive,1,False
a close up of street signs near a building,spatial,2,False
A large pink peony in a simple white vase.,descriptive,3,False
a close up of a pizza near a slicer ,spatial,4,False
A purple umbrella floating in blue and green water.,descriptive,5,False
Several people are in the surf of the ocean while a ship is far away in the background.,spatial,6,False
Close up view of the under carriage of a jet in the sky with landing gear down.,spatial,7,False
"Chest only view of person wearing floral pink and purple neck tie on yellow shirt with dark lanyard, possibly for access or ID card.",descriptive,8,False
A close up shot of a Zebra standing near a vehicle. ,spatial,9,False
A large bright blue colored object with some writing on it.,descriptive,10,False
"A yellow vase with two pink, purple and white flowers in it.",descriptive,11,False
Cows on display on top of codling with people far down below,spatial,12,False
This is a rear view of a roadway in which cars are in the right lane and mortorcyclists occupy the left lane while no vehicle is in the left turn lane.,spatial,13,False
"A brown vase filled with yellow, purple and pink flowers on a table.",descriptive,14,False
a black white and red airplane and a person,descriptive,15,False
A bus traveling down a street next to a person walking across a street.,spatial,16,False
An airplane flies close to the water near an island. ,spatial,17,False
a close up of a cake with cucumber around it,spatial,18,False
"Two horses, one black and one brown, graze in a green field.",descriptive,19,False
A black and green Halloween cake with orange writing and various Halloween toppings.,descriptive,20,False
Bike left outside next to the bench in front of the river,spatial,21,False
A close up of a woman eating a hot dog outside.,spatial,22,False
"A lamb, front diagonal view, laying in a shady area of sunny grass, with front half of a sheep looking at camera on right side of photo.",spatial,23,False
"The huge twin engine airliner has red, blue, and orange paint. ",descriptive,24,False
a close up of a street sign with a sky background,spatial,25,False
Women with short white skirts and black tops carrying umbrellas together in the street.,descriptive,26,False
A young girl is sitting on a brown couch with a black laptop in her lap and a  black and white cat by her side.,descriptive,27,False
a close up of a palte of food and a drink next to it,spatial,28,False
"Two double decker buses proceed down the street, side by side.",spatial,29,False
a close up of three zebras on a hill with mountains in the background,spatial,30,False
"The inside of a car with a senior adult from behind in passenger seat holding a cell phone to ear and car visor down, with view of street, trees and houses out the windows.",spatial,31,False
"Blue, yellow and green cake on a silver sheet.",descriptive,32,False
A train is going overhead with a tree and banners down below it.,spatial,33,False
"Bedroom with white walls, white bed, and white cabinet. ",descriptive,34,False
A close up of three children on a bench surrounding a tree.,spatial,35,False
A close up of a remote control beside another remote control.,spatial,36,False
"a white, pink, black and red bus stopped at an intersection",descriptive,37,False
"A middle aged man and an older man sit on a bench beneath a tree, a pair of crutches sits between them. ",spatial,38,False
A close up of a horse on the beach with people in the background.,spatial,39,False
A decorated building with a clock within a dome near the top.,spatial,40,False
A close up photograph of a sliced apple next to cheese. ,spatial,41,False
"A woman wearing skis, lying down on side in snow beside a woman squatting down holding a snowboard, both smiling at camera.",spatial,42,False
a close up of a cat sitting on a desk behind a laptop,spatial,43,False
"Side view of two standing elephants with a man on neck of one, both elephants with trunks to ground, in front of two long logs outside with hut and trees behind.",spatial,44,False
"Beach scene, two blue chairs with yellow umbrella, slight overcast blue sky and green-blue ocean.",descriptive,45,False
a black gray and white cat some legs and a black and white dog,descriptive,46,False
you can see the bright red stop sign in the dark.,descriptive,47,False
"A person snowboarding down the side of a snow covered hill, with snow blowing up as the snowboarder slides down the hill.",spatial,48,False
A man with a large red beard petting a brown horse.,descriptive,49,False
A round red sign that shows a silhouette of a person carrying a large white rectangular object.,descriptive,50,False
A group of people walking up and down a sidewalk next to  a street.,spatial,51,False
"A pile of green, orange, red and yellow veggies",descriptive,52,False
Cows walking along side a rode with snow on the mountain behind.,spatial,53,False
a brown and white toilet that is in a small bathroom,descriptive,54,False
A close up of a fire hydrant with ice around it.,spatial,55,False
A man wearing a green shirt and black jacket stands holding a square shaped kite in a grassy area near a large building.,descriptive,56,False
A giraffe standing next to a lizard in front of a kangaroo beneath a parrot with a blond woman uner the Eiffel tower.,spatial,57,False
A dirt bike and a ten speed parked side by side in front of a window.,spatial,58,False
"The back of a train that is painted red, white, and blue",descriptive,59,False
a dog laying down next to the fire hydrant he's tied up to,spatial,60,False
A seagull flies in close-up with a hilltop in the background. ,spatial,61,False
Skateboarder going down the side of Vrieling on top of his board. ,spatial,62,False
a close up of a zebra behind a fence ,spatial,63,False
"Side view of a man standing by and elephant with trunk raised to two women standing together on deck at top of stairs, outside.",spatial,64,False
a close up of animals on a field close together,spatial,65,False
a close up of a pair of scissors on a counter top,spatial,66,False
a close up of a dog near a frisbee ,spatial,67,False
This is a close up of someone holding open scissors in front of the camera.,spatial,68,False
two cats one is black and white and the other is brown black and white sleeping ,descriptive,69,False
A set of train tracks with cargo train cars on one side and people on the other side near several buildings.,spatial,70,False
two birds one is yellow and the other is gray black and white,descriptive,71,False
"A public restroom with several urinals, a black floor and red and yellow walls",descriptive,72,False
an orange cat sleeping on a red pillow under a blue blanket.,descriptive,73,False
A small gray and brown dog holding a white teddy bear.,descriptive,74,False
A close up of a giraffe with another in the background against a tree. ,spatial,75,False
A group of workers standing near wet cement near the side walk.,spatial,76,False
A large orange and white airplane sits at an airport.,descriptive,77,False
three brown white black  horses and a an arrow sign,descriptive,78,False
a light gray vase and some purple red and yellow flowers,descriptive,79,False
A black and white cat eating out of a white coffee cup.,descriptive,80,False
