row_index,condition,lambda,prefix,prompt,caption,vision_label,baseline_projection,projection,spatial_prob,descriptive_prob,disparity
0,baseline,,The image shows,Describe this image:\nCloseup of a black and brown ram with purple harness.\n\nThe image shows,Closeup of a black and brown ram with purple harness.,descriptive,2.5860654337494076,2.5860654337494076,0.99085761917647,0.00914238082353154,0.9817152383529384
1,baseline,,The image shows,Describe this image:\nA man wit a skateboard sitting on a bench next to a woman squatting down behind it.\n\nThe image shows,A man wit a skateboard sitting on a bench next to a woman squatting down behind it.,spatial,2.84639003146621,2.84639003146621,0.7704072061226511,0.22959279387734866,0.5408144122453025
2,baseline,,The image shows,Describe this image:\nA man riding a horse while his friend riding a snowboard right behind him.\n\nThe image shows,A man riding a horse while his friend riding a snowboard right behind him.,spatial,3.0799891425150854,3.0799891425150854,0.9138779390658113,0.08612206093418953,0.8277558781316218
3,baseline,,The image shows,Describe this image:\nA man gives a thumbs up while he holds a frisbee in front of a pathway marker.\n\nThe image shows,A man gives a thumbs up while he holds a frisbee in front of a pathway marker.,spatial,3.0975435100510733,3.0975435100510733,0.5161165830664147,0.48388341693358533,0.032233166132829394
4,baseline,,The image shows,Describe this image:\nTwo children are on the top of a slope preparing to head down.\n\nThe image shows,Two children are on the top of a slope preparing to head down.,spatial,3.1511197331914347,3.1511197331914347,0.6665718858875715,0.33342811411242856,0.333143771775143
5,baseline,,The image shows,Describe this image:\na close up of a cat sitting at a table with plates and cups near by\n\nThe image shows,a close up of a cat sitting at a table with plates and cups near by,spatial,2.9729783399870913,2.9729783399870913,0.9934215915770358,0.006578408422963691,0.9868431831540722
6,baseline,,The image shows,Describe this image:\na close up of a person holding a bowl of sauce\n\nThe image shows,a close up of a person holding a bowl of sauce,spatial,3.1501540549791955,3.1501540549791955,0.9983801863356461,0.001619813664353566,0.9967603726712925
7,baseline,,The image shows,Describe this image:\na close up of a sandwich on a plate\n\nThe image shows,a close up of a sandwich on a plate,spatial,3.04529672988867,3.04529672988867,0.9959118136320223,0.00408818636797914,0.9918236272640432
8,baseline,,The image shows,Describe this image:\nTwo black and yellow circular clocks affixed to an office building.\n\nThe image shows,Two black and yellow circular clocks affixed to an office building.,descriptive,2.5097422327242374,2.5097422327242374,0.40942195621882005,0.5905780437811798,-0.1811560875623598
9,baseline,,The image shows,"Describe this image:\nA tidy bathroom features a white sink, white hand towel and a shower with gold accents.\n\nThe image shows","A tidy bathroom features a white sink, white hand towel and a shower with gold accents.",descriptive,2.3804227767780954,2.3804227767780954,0.23060684295270154,0.7693931570472987,-0.5387863140945972
10,baseline,,The image shows,Describe this image:\nA close up of a sign with a sheep in the background.\n\nThe image shows,A close up of a sign with a sheep in the background.,spatial,2.880991273952053,2.880991273952053,0.8582748474739615,0.14172515252603832,0.7165496949479232
11,baseline,,The image shows,Describe this image:\nA person riding to the left on ski's down a mountain.\n\nThe image shows,A person riding to the left on ski's down a mountain.,spatial,3.1472772120450667,3.1472772120450667,0.5818957389731777,0.418104261026822,0.16379147794635568
12,baseline,,The image shows,Describe this image:\nA couple of bowls of yogurt and granola next to a sliced up banana.\n\nThe image shows,A couple of bowls of yogurt and granola next to a sliced up banana.,spatial,2.9205878668445866,2.9205878668445866,0.8318798491709638,0.1681201508290361,0.6637596983419277
13,baseline,,The image shows,Describe this image:\nAn orange and white cat laying on a blue chair pad on a steel chair.\n\nThe image shows,An orange and white cat laying on a blue chair pad on a steel chair.,descriptive,2.351211630341175,2.351211630341175,0.11587423551334419,0.8841257644866556,-0.7682515289733114
14,baseline,,The image shows,Describe this image:\na close up of a street sign with a building in the background\n\nThe image shows,a close up of a street sign with a building in the background,spatial,3.0546184961100726,3.0546184961100726,0.9450191031611683,0.05498089683883249,0.8900382063223359
15,baseline,,The image shows,"Describe this image:\nThe laptop is available in black, silver, or red.\n\nThe image shows","The laptop is available in black, silver, or red.",descriptive,2.3775692049228363,2.3775692049228363,0.18411784518639557,0.8158821548136045,-0.631764309627209
16,baseline,,The image shows,Describe this image:\na red white and blue fire hydrant some cars and buildings \n\nThe image shows,a red white and blue fire hydrant some cars and buildings ,descriptive,2.4695205451031277,2.4695205451031277,0.011849797938623195,0.9881502020613768,-0.9763004041227537
17,baseline,,The image shows,Describe this image:\nA bicycle parked in front of hay bales with pumpkins stacked on top of them.\n\nThe image shows,A bicycle parked in front of hay bales with pumpkins stacked on top of them.,spatial,2.585075503672097,2.585075503672097,0.47848178592102075,0.5215182140789791,-0.043036428157958384
18,baseline,,The image shows,Describe this image:\na close up of an animal on a snowy surface\n\nThe image shows,a close up of an animal on a snowy surface,spatial,3.0543955139834096,3.0543955139834096,0.9954783449345213,0.004521655065479229,0.9909566898690421
19,baseline,,The image shows,Describe this image:\nA street scene with motorcycles parked along the side of the road with people dining outside.\n\nThe image shows,A street scene with motorcycles parked along the side of the road with people dining outside.,spatial,2.9212033294092814,2.9212033294092814,0.3676789890918544,0.6323210109081456,-0.2646420218162912
20,baseline,,The image shows,Describe this image:\nA person running across a field near a flying frisbee.\n\nThe image shows,A person running across a field near a flying frisbee.,spatial,2.9506800684829404,2.9506800684829404,0.5972511922424028,0.40274880775759725,0.1945023844848055
21,baseline,,The image shows,Describe this image:\nMany horses running around a field with buildings in the background.\n\nThe image shows,Many horses running around a field with buildings in the background.,spatial,2.925545450644904,2.925545450644904,0.09997891871687335,0.9000210812831266,-0.8000421625662533
22,baseline,,The image shows,Describe this image:\ntwo brown black and white dogs and a window\n\nThe image shows,two brown black and white dogs and a window,descriptive,2.531301391187827,2.531301391187827,0.420548144701539,0.579451855298461,-0.158903710596922
23,baseline,,The image shows,Describe this image:\na black orange and white cat laying on a bed\n\nThe image shows,a black orange and white cat laying on a bed,descriptive,2.555741354434615,2.555741354434615,0.010518335351246988,0.989481664648753,-0.978963329297506
24,baseline,,The image shows,Describe this image:\nA small sink and toilet in a bathroom with a yellow floor and white walls. \n\nThe image shows,A small sink and toilet in a bathroom with a yellow floor and white walls. ,descriptive,2.3121218014708242,2.3121218014708242,0.2607992371815961,0.7392007628184041,-0.478401525636808
25,baseline,,The image shows,Describe this image:\na close up of a dog sitting on a chair\n\nThe image shows,a close up of a dog sitting on a chair,spatial,3.0384596530122985,3.0384596530122985,0.9940116603143242,0.0059883396856759055,0.9880233206286483
26,baseline,,The image shows,Describe this image:\nA skier makes his way down a steep hill as snow flies up around him.\n\nThe image shows,A skier makes his way down a steep hill as snow flies up around him.,spatial,3.2179669088858933,3.2179669088858933,0.5610914696523175,0.4389085303476821,0.12218293930463536
27,baseline,,The image shows,Describe this image:\nA black and white cat with a red stuffed toy.\n\nThe image shows,A black and white cat with a red stuffed toy.,descriptive,2.4097328396202915,2.4097328396202915,0.02758187080440473,0.9724181291955958,-0.944836258391191
28,baseline,,The image shows,Describe this image:\nA black and white cat slightly opens its eyes on a red blanket in a bed.\n\nThe image shows,A black and white cat slightly opens its eyes on a red blanket in a bed.,descriptive,2.5936497432595713,2.5936497432595713,0.03633422060488097,0.9636657793951188,-0.9273315587902378
29,baseline,,The image shows,Describe this image:\na zebra is standing next to a cars side mirror\n\nThe image shows,a zebra is standing next to a cars side mirror,spatial,3.0126460467266525,3.0126460467266525,0.6423614303113565,0.35763856968864394,0.28472286062271257
30,baseline,,The image shows,Describe this image:\nA black refrigerator stands in the corner of a room with white counters and brown cabinets.\n\nThe image shows,A black refrigerator stands in the corner of a room with white counters and brown cabinets.,descriptive,2.377235024967252,2.377235024967252,0.10698333207992583,0.8930166679200751,-0.7860333358401492
31,baseline,,The image shows,Describe this image:\na close up of many bowls of food with pickles\n\nThe image shows,a close up of many bowls of food with pickles,spatial,3.0019032146424216,3.0019032146424216,0.9944081125779517,0.0055918874220483306,0.9888162251559034
32,baseline,,The image shows,Describe this image:\nWoman with dark hair wearing black sweater and blue jeans plating Wii. \n\nThe image shows,Woman with dark hair wearing black sweater and blue jeans plating Wii. ,descriptive,2.3886302775448898,2.3886302775448898,0.65136931953947,0.34863068046052975,0.3027386390789402
33,baseline,,The image shows,Describe this image:\nHorses are running with their faces very close to each other.\n\nThe image shows,Horses are running with their faces very close to each other.,spatial,3.1437854044308535,3.1437854044308535,0.31975818595236843,0.6802418140476321,-0.36048362809526363
34,baseline,,The image shows,Describe this image:\na close up of a stuffed animal with a map in the background \n\nThe image shows,a close up of a stuffed animal with a map in the background ,spatial,2.9609258630766706,2.9609258630766706,0.9891417506339076,0.010858249366092164,0.9782835012678155
35,baseline,,The image shows,Describe this image:\na yellow truck a black car and a man with a red jacket\n\nThe image shows,a yellow truck a black car and a man with a red jacket,descriptive,2.323897124711726,2.323897124711726,0.007257539708185866,0.9927424602918142,-0.9854849205836284
36,baseline,,The image shows,Describe this image:\nA black and a white horse are grazing in a green pasture.\n\nThe image shows,A black and a white horse are grazing in a green pasture.,descriptive,2.6935104719759764,2.6935104719759764,0.029725204241479085,0.9702747957585206,-0.9405495915170415
37,baseline,,The image shows,Describe this image:\na close up of a zebra in a jungle biome\n\nThe image shows,a close up of a zebra in a jungle biome,spatial,2.9211079227423404,2.9211079227423404,0.9961503546297812,0.0038496453702196835,0.9923007092595615
38,baseline,,The image shows,Describe this image:\nA fire hydrant painted red white and green\n\nThe image shows,A fire hydrant painted red white and green,descriptive,2.47584147346301,2.47584147346301,0.08885521062404868,0.9111447893759517,-0.822289578751903
39,baseline,,The image shows,"Describe this image:\nPink, white, and yellow flowers are shown in a vase.\n\nThe image shows","Pink, white, and yellow flowers are shown in a vase.",descriptive,2.1465031610023257,2.1465031610023257,0.0004569771918098984,0.9995430228081904,-0.9990860456163805
40,baseline,,The image shows,Describe this image:\na black and white picture of a white man singing a song\n\nThe image shows,a black and white picture of a white man singing a song,descriptive,2.5310661629814155,2.5310661629814155,0.05549644477040928,0.9445035552295913,-0.889007110459182
41,baseline,,The image shows,Describe this image:\na black gray and white cat and a controller\n\nThe image shows,a black gray and white cat and a controller,descriptive,2.635762320419632,2.635762320419632,0.011432276586676955,0.988567723413323,-0.977135446826646
42,baseline,,The image shows,Describe this image:\nA blue and white truck with pants in it's flat bed.\n\nThe image shows,A blue and white truck with pants in it's flat bed.,descriptive,2.4594896938257795,2.4594896938257795,0.008659935610526378,0.9913400643894732,-0.9826801287789468
43,baseline,,The image shows,Describe this image:\na close up of a person riding a skate board near a child \n\nThe image shows,a close up of a person riding a skate board near a child ,spatial,3.2302747376397143,3.2302747376397143,0.9905308638893029,0.009469136110697832,0.981061727778605
44,baseline,,The image shows,Describe this image:\na close up of a dog laying on a brick floor\n\nThe image shows,a close up of a dog laying on a brick floor,spatial,2.9087226060169717,2.9087226060169717,0.9946722624310956,0.005327737568904279,0.9893445248621914
45,baseline,,The image shows,Describe this image:\nTwo cows standing close together next to some type of structure\n\nThe image shows,Two cows standing close together next to some type of structure,spatial,2.8666712598613198,2.8666712598613198,0.972431786403251,0.02756821359674897,0.944863572806502
46,baseline,,The image shows,Describe this image:\nA brown and white chihuahua stands over a stuffed giraffe toy and a gray ribbon.\n\nThe image shows,A brown and white chihuahua stands over a stuffed giraffe toy and a gray ribbon.,descriptive,2.5211134474236294,2.5211134474236294,0.07312592307603195,0.9268740769239681,-0.8537481538479361
47,baseline,,The image shows,Describe this image:\na close up of a bunch of dishes and a clock\n\nThe image shows,a close up of a bunch of dishes and a clock,spatial,2.8878140948169344,2.8878140948169344,0.9969895536312497,0.003010446368751162,0.9939791072624986
48,baseline,,The image shows,Describe this image:\na blue white and yellow plane on a runway\n\nThe image shows,a blue white and yellow plane on a runway,descriptive,2.582879487235683,2.582879487235683,0.0035849145166084707,0.9964150854833911,-0.9928301709667826
49,baseline,,The image shows,Describe this image:\nMany bicycles are parked close together outside of a shop.\n\nThe image shows,Many bicycles are parked close together outside of a shop.,spatial,2.9410502191176158,2.9410502191176158,0.8211682199973752,0.17883178000262479,0.6423364399947504
50,baseline,,The image shows,Describe this image:\na brown and white dag laying on a gray couch with the sun shining through the window\n\nThe image shows,a brown and white dag laying on a gray couch with the sun shining through the window,descriptive,2.7627284586307503,2.7627284586307503,0.02972083139443535,0.9702791686055646,-0.9405583372111292
51,baseline,,The image shows,Describe this image:\na close up of a giraffe near some kids\n\nThe image shows,a close up of a giraffe near some kids,spatial,3.240028887063819,3.240028887063819,0.9980299658392051,0.001970034160796289,0.9960599316784088
52,baseline,,The image shows,Describe this image:\nA small dog making a sleep face with long brown hair.\n\nThe image shows,A small dog making a sleep face with long brown hair.,descriptive,2.723653239848111,2.723653239848111,0.019169621235525517,0.9808303787644745,-0.961660757528949
53,baseline,,The image shows,Describe this image:\na blue yellow and red kite and some clouds\n\nThe image shows,a blue yellow and red kite and some clouds,descriptive,2.4855020969289643,2.4855020969289643,0.0032514622927563774,0.9967485377072447,-0.9934970754144883
54,baseline,,The image shows,Describe this image:\na close up of a street sign near a building\n\nThe image shows,a close up of a street sign near a building,spatial,3.112974974769514,3.112974974769514,0.986660237728677,0.013339762271321984,0.973320475457355
55,baseline,,The image shows,Describe this image:\nA close-up of a zebra in the wild.\n\nThe image shows,A close-up of a zebra in the wild.,spatial,3.059565168497655,3.059565168497655,0.9943212433385581,0.005678756661442101,0.988642486677116
56,baseline,,The image shows,Describe this image:\nA red stop surrounded by some green and yellow plants.\n\nThe image shows,A red stop surrounded by some green and yellow plants.,descriptive,2.6429873170026736,2.6429873170026736,0.010783591757750286,0.98921640824225,-0.9784328164844998
57,baseline,,The image shows,Describe this image:\na close up of a cell phone on a table near earbuds\n\nThe image shows,a close up of a cell phone on a table near earbuds,spatial,2.96886090106179,2.96886090106179,0.9952952282902694,0.004704771709729966,0.9905904565805395
58,baseline,,The image shows,Describe this image:\nThe person holding a colorful umbrella is in a black and white scenery.\n\nThe image shows,The person holding a colorful umbrella is in a black and white scenery.,descriptive,2.7526860011850665,2.7526860011850665,0.2883540988796598,0.71164590112034,-0.4232918022406802
59,baseline,,The image shows,"Describe this image:\nThree items of luggage of color blue, black, and red\n\n\nThe image shows","Three items of luggage of color blue, black, and red\n",descriptive,2.4838860255797757,2.4838860255797757,0.04813565526018032,0.9518643447398196,-0.9037286894796392
60,baseline,,The image shows,Describe this image:\na man with a black glove on using a blue and black compute mouse\n\n\nThe image shows,a man with a black glove on using a blue and black compute mouse\n,descriptive,2.800735059548546,2.800735059548546,0.5743270471643862,0.42567295283561385,0.14865409432877236
61,baseline,,The image shows,"Describe this image:\nA bar with a man reading and putting his feet up behind the bar, near a television that is on.\n\nThe image shows","A bar with a man reading and putting his feet up behind the bar, near a television that is on.",spatial,3.1484461922781124,3.1484461922781124,0.44555937590035344,0.5544406240996465,-0.10888124819929301
62,baseline,,The image shows,Describe this image:\nA domed ceiling is decorated with umbrellas that have bright red and yellow flowers on them.\n\nThe image shows,A domed ceiling is decorated with umbrellas that have bright red and yellow flowers on them.,descriptive,2.40028269474124,2.40028269474124,0.3994119367386743,0.6005880632613256,-0.20117612652265132
63,baseline,,The image shows,Describe this image:\nClean white bathroom with a large enclosed tub.\n\nThe image shows,Clean white bathroom with a large enclosed tub.,descriptive,2.4523543802587655,2.4523543802587655,0.041472363453161167,0.9585276365468387,-0.9170552730936775
64,baseline,,The image shows,Describe this image:\na close up of a street sign with a building in the background\n\nThe image shows,a close up of a street sign with a building in the background,spatial,3.0549367282778594,3.0549367282778594,0.9450575174105758,0.05494248258942379,0.890115034821152
65,baseline,,The image shows,Describe this image:\nClose-up of a skateboard being ridden outdoors near parked cars.\n\nThe image shows,Close-up of a skateboard being ridden outdoors near parked cars.,spatial,2.972891403906548,2.972891403906548,0.9969238587602977,0.003076141239703399,0.9938477175205943
66,baseline,,The image shows,Describe this image:\nA man riding a skateboard up the side of a cement ramp.\n\nThe image shows,A man riding a skateboard up the side of a cement ramp.,spatial,2.9781914514400345,2.9781914514400345,0.4543443862554658,0.5456556137445344,-0.09131122748906861
67,baseline,,The image shows,Describe this image:\na black gray and white cat a laptop and a bed\n\nThe image shows,a black gray and white cat a laptop and a bed,descriptive,2.307453680273213,2.307453680273213,0.007867297452540169,0.9921327025474591,-0.9842654050949189
68,baseline,,The image shows,Describe this image:\nThis is a close up picture of some bananas\n\nThe image shows,This is a close up picture of some bananas,spatial,2.9107539394779884,2.9107539394779884,0.9800361722475035,0.019963827752495777,0.9600723444950077
69,baseline,,The image shows,Describe this image:\nAn up close picture of a zebra with his/her hair standing on end.\n\nThe image shows,An up close picture of a zebra with his/her hair standing on end.,spatial,2.7012869545523177,2.7012869545523177,0.9376987959243779,0.062301204075621536,0.8753975918487563
70,baseline,,The image shows,Describe this image:\nA man riding up the side of a skateboard ramp on a skateboard.\n\nThe image shows,A man riding up the side of a skateboard ramp on a skateboard.,spatial,2.9657865116025284,2.9657865116025284,0.4719722841237876,0.5280277158762121,-0.0560554317524245
71,baseline,,The image shows,Describe this image:\nTwo brown and white giraffes standing in tall grass\n\nThe image shows,Two brown and white giraffes standing in tall grass,descriptive,2.6452731703018886,2.6452731703018886,0.24785174528423345,0.7521482547157667,-0.5042965094315333
72,baseline,,The image shows,Describe this image:\nA small kitchen features silver and white fixtures. \n\nThe image shows,A small kitchen features silver and white fixtures. ,descriptive,2.2732227286254867,2.2732227286254867,0.09441561199600473,0.9055843880039954,-0.8111687760079906
73,baseline,,The image shows,Describe this image:\na blue yellow and white train and some tracks\n\nThe image shows,a blue yellow and white train and some tracks,descriptive,2.4319748944288166,2.4319748944288166,0.0024387172380431832,0.9975612827619567,-0.9951225655239134
74,baseline,,The image shows,Describe this image:\nA man in blue shirt standing by a brown and black dog.\n\nThe image shows,A man in blue shirt standing by a brown and black dog.,descriptive,2.5052872266600175,2.5052872266600175,0.3603340925302322,0.6396659074697684,-0.2793318149395362
75,baseline,,The image shows,Describe this image:\na close up of a street sign with leaves and a sky background\n\nThe image shows,a close up of a street sign with leaves and a sky background,spatial,2.87323201505333,2.87323201505333,0.905756144351504,0.09424385564849676,0.8115122887030072
76,baseline,,The image shows,"Describe this image:\na blue, yellow and green keyboard on a desk\n\nThe image shows","a blue, yellow and green keyboard on a desk",descriptive,2.6305996335421007,2.6305996335421007,0.010067215506219751,0.9899327844937804,-0.9798655689875606
77,baseline,,The image shows,Describe this image:\nthree people on bicycles lined up behind one another along a road.\n\nThe image shows,three people on bicycles lined up behind one another along a road.,spatial,3.1608376918795167,3.1608376918795167,0.7205183093116356,0.2794816906883645,0.44103661862327115
78,baseline,,The image shows,Describe this image:\nA skier stands at the top of a slope with a mountain lake in the background.\n\nThe image shows,A skier stands at the top of a slope with a mountain lake in the background.,spatial,2.944481766002193,2.944481766002193,0.47618023687466043,0.5238197631253397,-0.0476395262506793
79,baseline,,The image shows,Describe this image:\nA close up of a vary unique looking vase in front of the tree. \n\nThe image shows,A close up of a vary unique looking vase in front of the tree. ,spatial,2.9946236774260573,2.9946236774260573,0.9690051513438508,0.03099484865614788,0.9380103026877029
80,baseline,,The image shows,Describe this image:\na close up of a childrens slide with trees in the background\n\nThe image shows,a close up of a childrens slide with trees in the background,spatial,3.1628225654601443,3.1628225654601443,0.8783519723517145,0.12164802764828545,0.756703944703429
81,baseline,,The image shows,Describe this image:\nMany brown and black cows in a large pasture.\n\nThe image shows,Many brown and black cows in a large pasture.,descriptive,2.6639907149138202,2.6639907149138202,0.02377120738534639,0.976228792614653,-0.9524575852293066
82,baseline,,The image shows,Describe this image:\nA man in a suit and tie holding a bag walking in front of a building and another man behind him.\n\nThe image shows,A man in a suit and tie holding a bag walking in front of a building and another man behind him.,spatial,2.9230360698947244,2.9230360698947244,0.8866534240868678,0.11334657591313183,0.773306848173736
83,baseline,,The image shows,Describe this image:\nA close-up of a hawk with a group of people in the background.\n\nThe image shows,A close-up of a hawk with a group of people in the background.,spatial,3.100235685438806,3.100235685438806,0.9921363923019552,0.007863607698044806,0.9842727846039103
84,baseline,,The image shows,Describe this image:\na close up of some books on a table next to a vase of flowers\n\nThe image shows,a close up of some books on a table next to a vase of flowers,spatial,2.99374574291035,2.99374574291035,0.9943646765250249,0.005635323474976034,0.9887293530500488
85,baseline,,The image shows,Describe this image:\nA close up view of a zebra grazing on dried grass.\n\nThe image shows,A close up view of a zebra grazing on dried grass.,spatial,2.777863809159848,2.777863809159848,0.9857766741561682,0.014223325843831274,0.971553348312337
86,baseline,,The image shows,Describe this image:\na purple kitchen with black cabinets and a silver micro wave oven\n\nThe image shows,a purple kitchen with black cabinets and a silver micro wave oven,descriptive,2.2768609958099812,2.2768609958099812,0.09675411247468665,0.9032458875253137,-0.806491775050627
87,baseline,,The image shows,Describe this image:\na close up of a duck on the ground near a window\n\nThe image shows,a close up of a duck on the ground near a window,spatial,3.148248030048411,3.148248030048411,0.996235700997055,0.003764299002946773,0.9924714019941083
88,baseline,,The image shows,Describe this image:\na brown white and black animal and two people on a motorcycle\n\nThe image shows,a brown white and black animal and two people on a motorcycle,descriptive,2.491028235294739,2.491028235294739,0.01929077322370798,0.9807092267762908,-0.9614184535525828
89,baseline,,The image shows,Describe this image:\na train going along a cliff side track with some water below \n\nThe image shows,a train going along a cliff side track with some water below ,spatial,2.8828221499527524,2.8828221499527524,0.36645903201502705,0.6335409679849731,-0.267081935969946
90,baseline,,The image shows,Describe this image:\nA group of zebras close together in the water.\n\nThe image shows,A group of zebras close together in the water.,spatial,3.054182723610899,3.054182723610899,0.8807117240166058,0.11928827598339457,0.7614234480332113
