text,vision_label,_id,is_neutral
A large herd of black and white cattle in a green field.,descriptive,1,False
a close up of a giraffe near a wooden pole,spatial,2,False
A man wearing a blue and black racing suit racing a blue and black motorcycle. ,descriptive,3,False
a close up of someone siting next to a person operating a laptop,spatial,4,False
"A purple, yellow and orange train passing a platform.",descriptive,5,False
Picture of Middle Eastern diplomats standing side by side.,spatial,6,False
A close up picture of food inside of a pan.,spatial,7,False
a black orange white and black cat is laying in a suitcase,descriptive,8,False
a l=close up of a pair of scissors next to a measuring tape,spatial,9,False
A brightly colored yellow and red fire hydrant on green groundcover.,descriptive,10,False
"parrot that is blue, green, yellow, and red",descriptive,11,False
A man with a turban walks behind his herd of cattle down one side of a street as traffic goes around them.,spatial,12,False
a close up of a drink on a table near a laptop,spatial,13,False
The blue and white train is being moved by a yellow and green vehicle.,descriptive,14,False
A black and white dog wrapped in a white blanket.,descriptive,15,False
some elephants walking across a dirt road close to some mud,spatial,16,False
a close up of a dog walking in front of parked motorcycles,spatial,17,False
a close up of a plate with food next to a wine glass,spatial,18,False
A brown and white horse with a long mane lowering his head to graze.,descriptive,19,False
A black leather couch with red and yellow pillow,descriptive,20,False
a close up of a toilet with a box on top near a wall,spatial,21,False
A woman is laying on here right side and looking up.,spatial,22,False
a close up of a dog on brick surface near a door,spatial,23,False
"A large  white, blue, and red clock shaped like a cup.",descriptive,24,False
a close up of a vase with many flowers inside ,spatial,25,False
A man in black shorts and a black t-shirt holds a black baseball bat.,descriptive,26,False
a blue and red plate with orange segments and a banana on it.,descriptive,27,False
a close up of a cat on a bed next to a laptop,spatial,28,False
A row of up right surfboards inside of a building.,spatial,29,False
a close up of a bench with a blurry background,spatial,30,False
A dog is peering up close while a cat lays on the bed behind him.,spatial,31,False
a blue and white boat and two black and white boats on a shore,descriptive,32,False
Two people walk down a side walk near a fire hydrant.,spatial,33,False
"A large gray elephant walking through a lush green field,",descriptive,34,False
a close up of three giraffes in a structure near a brick wall,spatial,35,False
a close up of a motorcycles handle bars with a speed limit sign in the background,spatial,36,False
a white blue green and  yellow colored bus ,descriptive,37,False
a jeep is driving up along side another vehicle,spatial,38,False
"A person from back-side view, standing with arm out and hand touching head of a sheep with its body toward camera and head towards person, in grass outside with trees in background.",spatial,39,False
A close up of a bicycle with its kickstand down.,spatial,40,False
a close up of a cake on a table near a box of cookies,spatial,41,False
a close up of two people walking close together,spatial,42,False
